lat,lon,place,region
50.680848,16.278117,Waligóra,Góry Kamienne
50.736103,15.739742,Sniezka,Karkonosze
49.074560,22.726325,Tarnica,Bieszczady
49.413802,20.414218,Trzy Korony,Pieniny
50.482427,16.344528,Szczeliniec,Góry Stolowe
50.272240,16.965272,Czernica,Góry Zlote
50.207464,16.847352,Snieznik,Masyw Snieznika
50.791471, 15.514069, Szrenica, Karkonosze
50.780492, 15.545703, £abski Szczyt, Karkonosze
50.776791, 15.559151, Sniezne Kotly, Karkonosze
50.808352, 15.900458, Skalnik, Rudawy Janowickie
50.807211, 15.894266, Ostra Mala, Rudawy Janowickie
50.864234, 15.868244, Krzyzna Gora, Rudawy Janowickie
50.869580, 15.869268, Sokolik, Rudawy Janowickie
50.702574, 16.191798, Lesista Wielka, Gory Kamienne
50.693365, 16.314944, Rogowiec, Gory Kamienne
50.722907, 16.304505, Borowa, Gory Walbrzyskie
50.733987, 16.306342, Wolowiec, Gory Walbrzyskie
50.680185, 16.485500, Wielka Sowa, Gory Sowie
50.642735, 16.546377, Kalenica, Gory Sowie
50.225533, 16.833286, Zmijowiec, Masyw Snieznika
50.252192, 16.804968, Czarna Gora, Masyw Snieznika
50.451633, 16.753387, Klodzka Gora, Gory Bardzkie
50.779619, 16.210728, Chelmiec, Gory Walbrzyskie
50.812730, 16.163717, Trojgarb, Gory Walbrzyskie
50.825451, 16.362237, Jeziorko Daisy, Pogorze Walbrzyskie
49.678831, 18.804715, Czantoria Wielka, Beskid Slaski
49.724673, 18.856401, Rownica, Beskid Slaski
49.605426, 18.823153, Stozek Wielki, Beskid Slaski
49.655933, 19.001238, Malinowska Skala, Beskid Slaski
49.623090, 18.929626, Cienkow Nizni, Beskid Slaski
49.417613, 20.440571, Sokolica, Pieniny
49.396844, 20.553962, Wawoz Homole, Pieniny
49.074560, 22.726325, Tarnica, Bieszczady
49.072102, 22.768811, Halicz, Bieszczady
49.061790, 22.770485, Rozsypaniec, Bieszczady
49.083424, 22.711080, Szeroki Wierch, Bieszczady
49.124322, 22.543576, Dzial, Bieszczady
49.098223, 22.579061, Wielka Rawka, Bieszczady
49.135362, 22.607972, Polonina Carynska, Bieszczady
49.157184, 22.549709, Polonina Wetlinska, Bieszczady
49.185495, 22.478576, Smerek, Bieszczady
